nom_oeuvre,notion_1,notion_2,notion_3,notion_4,notion_5,notion_6,notion_7,notion_8,notion_9,notion_10,notion_11,notion_12,notion_13,notion_14
WASSILY / B3,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système modulaire,Système de signes,Savoir-faire exprimé,Décor porteur de sens,Transmission du geste,,,,
Bibendum,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Usage détourné,Biomorphisme textile,Savoir-faire exprimé,,,,,,,,
Canteen stool,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Décor porteur de sens,,,,,,,,
Siège Tournant LC7,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,,,,,,,,
Chaise Longue LC4,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système de signes,Biomorphisme textile,,,,,,,
LC2,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Décor porteur de sens,,,,,,,,,
Menton,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système modulaire,,,,,,,,
Stool 60,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,Surface texturée,Décor porteur de sens,,,,,,,
Nogushi,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Transmission du geste,,,,,
Lampe Jumo Bolid,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Hybridation vestimentaire,Savoir-faire exprimé,Décor porteur de sens,,,,,,,
Bic Cristal,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Transmission du geste,,,,,,,,
Tulip Chair,Ossature apparente,Structure suspendue,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,,,,,,,,
Butterfly,Ossature apparente,Structure suspendue,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système de signes,Biomorphisme textile,,,,,,
Globe,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Transmission du geste,,,,,,
Heart Cone Chair,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,,,,,,,,
Oyster,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,,,,,,,
Wire Cone Chair,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Hybridation vestimentaire,,,,,,,
Mushroom,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,,,,,,,
Orange Slice,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,
Little Globe,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Biomorphisme textile,Surface texturée,,,,,,,,
Little Tulip,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Biomorphisme textile,Savoir-faire exprimé,,,,,,,
Pipistrello,Matériau porteur exprimé,Fonctionnalisme radical,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,,
Tulip,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Biomorphisme textile,Décor porteur de sens,,,,,,,
Pratone,Ossature apparente,Fonctionnalisme radical,Système de signes,Biomorphisme textile,Surface texturée,Décor porteur de sens,,,,,,,,
Ribbon,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,
Le Chat,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Biomorphisme textile,,,,,,,,,,
Panton Chair,Fonctionnalisme radical,Ergonomie contextualisée,Système de signes,Biomorphisme textile,,,,,,,,,,
Tongue,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Biomorphisme textile,Décor porteur de sens,,,,,,,
ABCD,Ossature apparente,Modularité spatiale,Fonctionnalisme radical,Ergonomie contextualisée,Typographie expressive,Grille de composition,Système de signes,Biomorphisme textile,,,,,,
Flowerpot Lamp,Structure suspendue,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Biomorphisme textile,,,,,,,,,
Amoebe Highback,Fonctionnalisme radical,Ergonomie contextualisée,Système de signes,Biomorphisme textile,Décor porteur de sens,,,,,,,,,
Ben Chair,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,,,,,,,,,
Ring Lamp,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Décor porteur de sens,,,,,,,
Groovy,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Biomorphisme textile,Décor porteur de sens,,,,,,,
Panthella Lamp,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Décor porteur de sens,,,,,,,
Wire Lamp,Ossature apparente,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Grille de composition,Système de signes,Décor porteur de sens,,,,,
Fauteuil Proust,Ossature apparente,Fonctionnalisme radical,Système de signes,Hybridation vestimentaire,Savoir-faire exprimé,Décor porteur de sens,Transmission du geste,,,,,,,
Chaise Rover,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
Chaise Well Tempered,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Transmission du geste,,,,,,
Lockheed Longe,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,,,,,,
Chaise Big Easy,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système de signes,Coupe structurelle,Biomorphisme textile,Savoir-faire exprimé,,,,,
Embryo Chair,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
Service Plissé,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Surface texturée,,,,,,,,,
Juicy Salif,Fonctionnalisme radical,Réduction formelle,Système de signes,,,,,,,,,,,
Rag Chair,Ossature apparente,Massivité symbolique,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,Stratification visuelle,Savoir-faire exprimé,Surface texturée,,,,
Bibliothèque Bookworm,Modularité spatiale,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Système modulaire,Poétique de la fonction,Système de signes,Biomorphisme textile,Savoir-faire exprimé,Décor porteur de sens,,,,
Coffee Drop Splash,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Savoir-faire exprimé,Surface texturée,Gestuelle artisanale,,,
Quand Jim monte à Paris,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système modulaire,Poétique de la fonction,Système de signes,,,,,
Teddy Bear Band,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Usage détourné,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Surface texturée,Décor porteur de sens,,,,
Radio Tykho,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Haptique matière,,,,,,,,,
Lecteur CD mural,Structure suspendue,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Gestuelle artisanale,Décor porteur de sens,,,,,,
Terra Grass armchair,Ossature apparente,Modularité spatiale,Ergonomie contextualisée,Grille de composition,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
Pots&Pans,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Grille de composition,Système de signes,Stratification visuelle,Savoir-faire exprimé,Décor porteur de sens,,,,,
Louis Ghost,Transparence constructive,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Système de signes,Hybridation vestimentaire,Décor porteur de sens,Transmission du geste,,,,,
Paco - Heineken,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Hybridation vestimentaire,,,,,,,,,
Chaise One,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Savoir-faire exprimé,,,,,,,
Algues,Ossature apparente,Modularité spatiale,Structure suspendue,Fonctionnalisme radical,Assemblage visible,Poétique de la fonction,Grille de composition,Système de signes,Biomorphisme textile,Décor porteur de sens,,,,
Chaise C2,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Poétique de la fonction,Surface texturée,Haptique matière,,,,
Cork Family,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Poétique de la fonction,Système de signes,Savoir-faire exprimé,Surface texturée,Haptique matière,,,
Chaise MT3,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Coupe structurelle,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,,,,
Full Grow,Ossature apparente,Modularité spatiale,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Matériau noble révélé,Savoir-faire exprimé,Surface texturée,,,
Lapin Carrotte,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Design par soustraction,Poétique de la fonction,Système de signes,Coupe structurelle,Biomorphisme textile,Savoir-faire exprimé,Surface texturée,Gestuelle artisanale,,
Table Cinderella,Ossature apparente,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Coupe structurelle,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Savoir-faire exprimé,Gestuelle artisanale,Décor porteur de sens,,,
Iconik - Heineken,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,
Bel-Air,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Décor porteur de sens,,,
Reflet,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Savoir-faire exprimé,,,,,,,,
Vélo design en bois Arvak,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Biomorphisme textile,Stratification visuelle,Savoir-faire exprimé,,,,,,,,
Thin Black Lines,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,,,,,,,,
Bamboo Lantern,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Poétique de la fonction,Système de signes,Coupe structurelle,Savoir-faire exprimé,,,,
Collection POILU,Ossature apparente,Fonctionnalisme radical,Assemblage visible,Poétique de la fonction,Système de signes,Coupe structurelle,Biomorphisme textile,Surface texturée,Haptique matière,,,,,
Filo,Ossature apparente,Structure suspendue,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Grille de composition,Système de signes,Savoir-faire exprimé,Surface texturée,Décor porteur de sens,,
Dulce,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Surface texturée,,,,,
“For now we see through a glass darkly”,Ossature apparente,Transparence constructive,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Superposition narrative,Stratification visuelle,Hybridation vestimentaire,Transmission du geste,,,,,
Exploded Chair,Transparence constructive,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Système de signes,Hybridation vestimentaire,,,,,,,,
Théière collection Nest,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Savoir-faire exprimé,,,,,,,
Half Chair,Structure suspendue,Fonctionnalisme radical,Assemblage visible,Système de signes,Coupe structurelle,Hybridation vestimentaire,,,,,,,,
Tailleur Bar,Fonctionnalisme radical,Système de signes,Savoir-faire exprimé,,,,,,,,,,,
La Marinière,Système de signes,Coupe structurelle,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,,,,,,,,
Pleats Please,Ossature apparente,Fonctionnalisme radical,Savoir-faire exprimé,,,,,,,,,,,
The Tangent Flows,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Coupe structurelle,Hybridation vestimentaire,Surface texturée,Décor porteur de sens,,,,,,
Highland Rape,Transparence constructive,Poétique de la fonction,,,,,,,,,,,,
Bumster,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Coupe structurelle,Hybridation vestimentaire,,,,,,,,,
A-POC,Ossature apparente,Modularité spatiale,Assemblage visible,Réduction formelle,Système modulaire,Hybridation vestimentaire,,,,,,,,
Joan,Matériau porteur exprimé,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Surface texturée,,,,,,,,
Airmail Dress,Ossature apparente,Transparence constructive,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Typographie expressive,Système de signes,Hybridation vestimentaire,Transmission du geste,,,,,
No. 13,Ossature apparente,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Coupe structurelle,Hybridation vestimentaire,Transmission du geste,,,,,,,
The Overlook,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Décor porteur de sens,,,,,,,
Aeroplane Dress,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Poétique de la fonction,Hybridation vestimentaire,,,,,,,,
Afterwords,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Système de signes,Hybridation vestimentaire,Gestuelle artisanale,,,,,,,,
Remote Control Dress,Transparence constructive,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Stratification visuelle,Hybridation vestimentaire,,,,,,
Voss,Ossature apparente,Matériau porteur exprimé,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Surface texturée,Décor porteur de sens,,,,,,
It's Only a Game,Ossature apparente,Transparence constructive,Poétique de la fonction,Système de signes,Coupe structurelle,Stratification visuelle,Gestuelle artisanale,,,,,,,
Widows of Culloden,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Superposition narrative,Hybridation vestimentaire,Décor porteur de sens,Transmission du geste,,,,,,,
One Hundred and Eleven,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Hybridation vestimentaire,,,,,,,,,
Sarabande,Ergonomie contextualisée,Poétique de la fonction,Système de signes,,,,,,,,,,,
Readings,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Surface texturée,Gestuelle artisanale,Haptique matière,,,,,,,
Horn Of Plenty,Ossature apparente,Matériau porteur exprimé,Réduction formelle,Système modulaire,Poétique de la fonction,Coupe structurelle,Stratification visuelle,Surface texturée,Décor porteur de sens,,,,,
Inertia,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Biomorphisme textile,Hybridation vestimentaire,Surface texturée,Gestuelle artisanale,,,,,
Crystallization,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Grille de composition,Système de signes,Superposition narrative,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,
Plato's Atlantis,Matériau porteur exprimé,Ergonomie contextualisée,Système de signes,Hybridation vestimentaire,Surface texturée,Transmission du geste,,,,,,,,
Capriole,Ossature apparente,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,Gestuelle artisanale,,,,
Kaikoku Floating Dress,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,Gestuelle artisanale,,
Hybrid Holism,Ossature apparente,Transparence constructive,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,,,
White Drama Collection,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Usage détourné,Poétique de la fonction,Système de signes,Superposition narrative,Coupe structurelle,Stratification visuelle,Surface texturée,,,,
Voltage,Ossature apparente,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Coupe structurelle,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,,,
Biopiracy,Ossature apparente,Matériau porteur exprimé,Ergonomie contextualisée,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,,,,,,,,
Magnetic Motion,Ossature apparente,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Grille de composition,Biomorphisme textile,Savoir-faire exprimé,Surface texturée,,,,
Gravity Fatigue,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Hybridation vestimentaire,,,,,,,,
Hacking Infinity,Ossature apparente,Modularité spatiale,Fonctionnalisme radical,Ergonomie contextualisée,Système modulaire,Poétique de la fonction,Système de signes,Superposition narrative,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Savoir-faire exprimé,,
Viktor & Rolf’s Fall 2015 couture show ,Ossature apparente,Massivité symbolique,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Hybridation vestimentaire,Surface texturée,,,,,,,
Seijaku,Ossature apparente,Structure suspendue,Rythme architectural,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système de signes,Superposition narrative,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,
Between the Lines,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Système modulaire,Poétique de la fonction,Système de signes,Superposition narrative,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée
Collection primptemps été,Ergonomie contextualisée,Poétique de la fonction,Superposition narrative,Coupe structurelle,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,Transmission du geste,,,,,,
Spring/Summer,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système modulaire,Système de signes,Superposition narrative,Coupe structurelle,Stratification visuelle,Surface texturée,Décor porteur de sens,
Elysium,Ossature apparente,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Grille de composition,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,,,,,
Ludi Naturae,Ossature apparente,Modularité spatiale,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Système modulaire,Poétique de la fonction,Système de signes,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée
Momento Collection,Matériau porteur exprimé,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Système de signes,Stratification visuelle,Hybridation vestimentaire,Décor porteur de sens,Transmission du geste,,,,,
Shift Souls,Ossature apparente,Rythme architectural,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Superposition narrative,Biomorphisme textile,Hybridation vestimentaire,Surface texturée,Gestuelle artisanale,,,,
Sensory Seas,Ossature apparente,Transparence constructive,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,Gestuelle artisanale,,,,
Roots of Rebirth,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Superposition narrative,Biomorphisme textile,Hybridation vestimentaire,Surface texturée,,,,,
Meta Morphism,Ossature apparente,Matériau porteur exprimé,Ergonomie contextualisée,Système de signes,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,
Earthrise,Structure suspendue,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Biomorphisme textile,Hybridation vestimentaire,Surface texturée,,,,,,
