Nom de la référence,Notions
Heart Cone Chair,"Symbole & Archétype, Ergonomie & Usages, Couleur & Saturation, Exagération & Contraste, Ancrage & Élévation, Pérennité, Mutation & Évolution, Narration & Évocation, Rationalisation & Simplification"
High Line,"Réemploi & Réhabilitation, Détournement & Appropriation, Hybridation & Fusion, Mutation & Évolution, Pérennité, Fluidité & Rigidité, Articulation & Connexion, Texture & État de surface, Conception collaborative, Narration & Évocation, Engagement & Sensibilisation, Modularité & Standardisation"
Highland Rape,"Déconstruction & Fragmentation, Narration & Évocation, Engagement & Sensibilisation, Détournement & Appropriation, Exagération & Contraste, Symbole & Archétype, Texture & État de surface, Transparence & Opacité, Artisanat & Savoir-faire, Déformation & Distorsion"
Hope,"Engagement & Sensibilisation, Symbole & Archétype, Détournement & Appropriation, Couleur & Saturation, Répétition, Rationalisation & Simplification, Exagération & Contraste, Narration & Évocation, Interaction"
Horn Of Plenty,"Accumulation & Densité, Réemploi & Réhabilitation, Détournement & Appropriation, Exagération & Contraste, Répétition, Motif & Ornementation, Échelle & Proportion, Symbole & Archétype, Engagement & Sensibilisation, Narration & Évocation, Déformation & Distorsion"
Hudson River Landscape,"Masse & Légèreté, Minimalisme & Vide, Fluidité & Rigidité, Transparence & Opacité, Lumière & Ombre, Narration & Évocation, Hybridation & Fusion, Cinétisme & Vibration, Articulation & Connexion"
Hybrid Holism,"Hybridation & Fusion, Innovation & Optimisation, Biomimétisme, Artisanat & Savoir-faire, Cinétisme & Vibration, Mutation & Évolution, Texture & État de surface, Conception collaborative, Narration & Évocation"
I Love New York,"Symbole & Archétype, Rationalisation & Simplification, Pérennité, Détournement & Appropriation, Engagement & Sensibilisation, Échelle & Proportion, Narration & Évocation, Répétition, Modularité & Standardisation"
IWC ingenieur,"Articulation & Connexion, Hybridation & Fusion, Innovation & Optimisation, Texture & État de surface, Exagération & Contraste, Équilibre & Symétrie, Pérennité, Symbole & Archétype, Ergonomie & Usages, Rationalisation & Simplification"
Iconik - Heineken,"Ergonomie & Usages, Mutation & Évolution, Symbole & Archétype, Lumière & Ombre, Minimalisme & Vide, Masse & Légèreté, Texture & État de surface, Innovation & Optimisation, Fluidité & Rigidité, Interaction, Rationalisation & Simplification"
Inertia,"Cinétisme & Vibration, Déformation & Distorsion, Déconstruction & Fragmentation, Fluidité & Rigidité, Narration & Évocation, Innovation & Optimisation, Hybridation & Fusion, Engagement & Sensibilisation, Illusion & Simulation, Symbole & Archétype, Texture & État de surface, Exagération & Contraste"
Institut du Monde Arabe (IMA),"Lumière & Ombre, Innovation & Optimisation, Symbole & Archétype, Transparence & Opacité, Cinétisme & Vibration, Articulation & Connexion, Narration & Évocation, Hiérarchie & Stratification, Interaction, Pérennité, Hybridation & Fusion"
It's Only a Game,"Narration & Évocation, Symbole & Archétype, Interaction, Hiérarchie & Stratification, Hybridation & Fusion, Exagération & Contraste, Articulation & Connexion, Engagement & Sensibilisation, Répétition, Déformation & Distorsion"
Japan National Stadium,"Ancrage & Élévation, Hiérarchie & Stratification, Innovation & Optimisation, Texture & État de surface, Biomimétisme, Échelle & Proportion, Lumière & Ombre, Engagement & Sensibilisation, Pérennité, Articulation & Connexion, Minimalisme & Vide"
Jazz at Lincoln Center,"Typographie & Mise en page, Rythme & Répétition, Symbole & Archétype, Modularité & Standardisation, Innovation & Optimisation, Narration & Évocation, Cinétisme & Vibration, Échelle & Proportion, Engagement & Sensibilisation, Pérennité"
Jellyfish Eyes,"Narration & Évocation, Symbole & Archétype, Illusion & Simulation, Hybridation & Fusion, Couleur & Saturation, Engagement & Sensibilisation, Mutation & Évolution, Innovation & Optimisation, Interaction, Rythme & Répétition"
Joan,"Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Lumière & Ombre, Engagement & Sensibilisation, Ancrage & Élévation, Hiérarchie & Stratification, Texture & État de surface, Artisanat & Savoir-faire, Déformation & Distorsion"
Juicy Salif,"Symbole & Archétype, Exagération & Contraste, Narration & Évocation, Ancrage & Élévation, Rationalisation & Simplification, Masse & Légèreté, Texture & État de surface, Pérennité, Interaction, Biomimétisme"
Kaikai Kiki & Me,"Symbole & Archétype, Hybridation & Fusion, Répétition, Couleur & Saturation, Narration & Évocation, Modularité & Standardisation, Lumière & Ombre, Rationalisation & Simplification, Mutation & Évolution, Pérennité"
Kleinhans Music Hall,"Innovation & Optimisation, Équilibre & Symétrie, Texture & État de surface, Lumière & Ombre, Fluidité & Rigidité, Rationalisation & Simplification, Pérennité, Ancrage & Élévation, Articulation & Connexion, Conception collaborative, Échelle & Proportion, Ergonomie & Usages"
"L'Arc de Triomphe, Wrapped","Détournement & Appropriation, Masse & Légèreté, Lumière & Ombre, Texture & État de surface, Mutation & Évolution, Narration & Évocation, Échelle & Proportion, Transparence & Opacité, Articulation & Connexion, Engagement & Sensibilisation, Minimalisme & Vide"
LC2,"Rationalisation & Simplification, Symbole & Archétype, Ergonomie & Usages, Masse & Légèreté, Articulation & Connexion, Pérennité, Modularité & Standardisation, Exagération & Contraste, Innovation & Optimisation, Hybridation & Fusion"
La Citée Radieuse,"Ancrage & Élévation, Échelle & Proportion, Texture & État de surface, Modularité & Standardisation, Hiérarchie & Stratification, Ergonomie & Usages, Couleur & Saturation, Pérennité, Rationalisation & Simplification, Rythme & Répétition, Hybridation & Fusion, Masse & Légèreté"
La Grande Arche,"Minimalisme & Vide, Symbole & Archétype, Échelle & Proportion, Ancrage & Élévation, Rationalisation & Simplification, Lumière & Ombre, Transparence & Opacité, Articulation & Connexion, Pérennité, Narration & Évocation, Innovation & Optimisation"
La Marie,"Transparence & Opacité, Minimalisme & Vide, Rationalisation & Simplification, Innovation & Optimisation, Masse & Légèreté, Ergonomie & Usages, Pérennité, Symbole & Archétype, Modularité & Standardisation"
La Marinière,"Symbole & Archétype, Détournement & Appropriation, Rythme & Répétition, Narration & Évocation, Pérennité, Mutation & Évolution, Hybridation & Fusion, Rationalisation & Simplification, Exagération & Contraste, Engagement & Sensibilisation"
La Robe maillée,"Articulation & Connexion, Modularité & Standardisation, Innovation & Optimisation, Rythme & Répétition, Texture & État de surface, Symbole & Archétype, Détournement & Appropriation, Lumière & Ombre, Narration & Évocation, Exagération & Contraste"
La chaise n°14 (Chaise Thonet),"Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation, Symbole & Archétype, Pérennité, Fluidité & Rigidité, Masse & Légèreté, Ergonomie & Usages, Articulation & Connexion"
La petite fille au ballon,"Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Engagement & Sensibilisation, Interaction, Détournement & Appropriation, Minimalisme & Vide, Mutation & Évolution, Lumière & Ombre, Pérennité"
Lampe TGV,"Ergonomie & Usages, Mutation & Évolution, Symbole & Archétype, Lumière & Ombre, Hybridation & Fusion, Innovation & Optimisation, Ancrage & Élévation, Fluidité & Rigidité, Biomimétisme, Pérennité, Rationalisation & Simplification"
Lampe Wagenfeld,"Rationalisation & Simplification, Symbole & Archétype, Transparence & Opacité, Minimalisme & Vide, Articulation & Connexion, Modularité & Standardisation, Pérennité, Équilibre & Symétrie, Lumière & Ombre, Innovation & Optimisation"
Lapin Carotte,"Narration & Évocation, Interaction, Engagement & Sensibilisation, Symbole & Archétype, Détournement & Appropriation, Artisanat & Savoir-faire, Hybridation & Fusion, Exagération & Contraste, Mutation & Évolution"
Le Chat,"Articulation & Connexion , Équilibre & Symétrie , Fluidité & Rigidité , Masse & Légèreté , Minimalisme & Vide , Texture & État de surface , Ancrage & Élévation , Cinétisme & Vibration , Pérennité , Exagération & Contraste , Innovation & Optimisation , Ergonomie & Usages"
Le Pavillon de Barcelone,"Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Transparence & Opacité, Masse & Légèreté, Fluidité & Rigidité, Ancrage & Élévation, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Innovation & Optimisation"
Le Soundshirt,"Articulation & Connexion, Hiérarchie & Stratification, Hybridation & Fusion, Texture & État de surface, Dématérialisation, Interaction, Cinétisme & Vibration, Mobilité & Déploiement, Engagement & Sensibilisation, Illusion & Simulation, Ergonomie & Usages, Innovation & Optimisation"
Lecteur CD mural,"Minimalisme & Vide, Équilibre & Symétrie, Interaction, Cinétisme & Vibration, Narration & Évocation, Détournement & Appropriation, Ergonomie & Usages, Rationalisation & Simplification, Pérennité, Innovation & Optimisation, Symbole & Archétype, Texture & État de surface"
Les Archives du Cœur,"Accumulation & Densité, Inclusion & Mise en abyme, Lumière & Ombre, Dématérialisation, Cinétisme & Vibration, Pérennité, Éphémère & Apparition, Interaction, Narration & Évocation, Symbole & Archétype, Conception collaborative"
Les Colonnes de Buren,"Répétition, Motif & Ornementation, Hiérarchie & Stratification, Équilibre & Symétrie, Lumière & Ombre, Ancrage & Élévation, Interaction, Pérennité, Exagération & Contraste, Symbole & Archétype, Ergonomie & Usages, Modularité & Standardisation"
Les Cols,"Articulation & Connexion, Hiérarchie & Stratification, Transparence & Opacité, Minimalisme & Vide, Texture & État de surface, Lumière & Ombre, Ancrage & Élévation, Pérennité, Narration & Évocation, Artisanat & Savoir-faire, Ergonomie & Usages, Innovation & Optimisation"
Les ombres,"Échelle & Proportion, Lumière & Ombre, Dématérialisation, Déformation & Distorsion, Masse & Légèreté, Cinétisme & Vibration, Éphémère & Apparition, Narration & Évocation, Symbole & Archétype, Détournement & Appropriation, Illusion & Simulation, Réemploi"
Little Globe,"Échelle & Proportion, Équilibre & Symétrie, Articulation & Connexion, Minimalisme & Vide, Masse & Légèreté, Cinétisme & Vibration, Ancrage & Élévation, Pérennité, Ergonomie & Usages, Rationalisation & Simplification, Symbole & Archétype, Texture & État de surface"
Little Tulip,"Articulation & Connexion, Équilibre & Symétrie, Fluidité & Rigidité, Masse & Légèreté, Minimalisme & Vide, Ancrage & Élévation, Pérennité, Narration & Évocation, Symbole & Archétype, Biomimétisme, Ergonomie & Usages, Modularité & Standardisation"
Lockheed Longe,"Équilibre & Symétrie, Hiérarchie & Stratification, Motif & Ornementation, Fluidité & Rigidité, Hybridation & Fusion, Masse & Légèreté, Texture & État de surface, Pérennité, Narration & Évocation, Artisanat & Savoir-faire, Biomimétisme, Innovation & Optimisation"
Logo ABC,"Articulation & Connexion, Équilibre & Symétrie, Répétition, Inclusion & Mise en abyme, Minimalisme & Vide, Texture & État de surface, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Ergonomie & Usages, Modularité & Standardisation, Innovation & Optimisation"
Logo AT&T,"Répétition, Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Lumière & Ombre, Cinétisme & Vibration, Mutation & Évolution, Pérennité, Illusion & Simulation, Symbole & Archétype, Rationalisation & Simplification, Innovation & Optimisation"
Logo Apple,"Minimalisme & Vide, Couleur & Saturation, Répétition, Échelle & Proportion, Pérennité, Mutation & Évolution, Symbole & Archétype, Narration & Évocation, Rationalisation & Simplification, Innovation & Optimisation, Motif & Ornementation, Inclusion & Mise en abyme"
Logo IBM,"Répétition, Déconstruction & Fragmentation, Équilibre & Symétrie, Minimalisme & Vide, Cinétisme & Vibration, Mutation & Évolution, Pérennité, Illusion & Simulation, Symbole & Archétype, Modularité & Standardisation, Rationalisation & Simplification, Innovation & Optimisation"
Logo MCDO,"Équilibre & Symétrie, Répétition, Minimalisme & Vide, Couleur & Saturation, Pérennité, Mutation & Évolution, Symbole & Archétype, Détournement & Appropriation, Rationalisation & Simplification, Modularité & Standardisation"
Logo Mastercard,"Équilibre & Symétrie, Répétition, Couleur & Saturation, Minimalisme & Vide, Transparence & Opacité, Mutation & Évolution, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Innovation & Optimisation, Ergonomie & Usages"
Logo Morningstar,"Équilibre & Symétrie, Minimalisme & Vide, Couleur & Saturation, Lumière & Ombre, Ancrage & Élévation, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation"
Logo NeXT,"Inclusion & Mise en abyme, Minimalisme & Vide, Masse & Légèreté, Couleur & Saturation, Ancrage & Élévation, Pérennité, Symbole & Archétype, Narration & Évocation, Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation"
Logo Nike - Swoosh,"Équilibre & Symétrie, Minimalisme & Vide, Fluidité & Rigidité, Masse & Légèreté, Cinétisme & Vibration, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Innovation & Optimisation"
Logo UPS,"Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Couleur & Saturation, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation, Ergonomie & Usages"
Logo Windows,"Articulation & Connexion, Équilibre & Symétrie, Déconstruction & Fragmentation, Minimalisme & Vide, Ancrage & Élévation, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation"
Logo Yale University Press,"Équilibre & Symétrie, Répétition, Minimalisme & Vide, Masse & Légèreté, Pérennité, Mutation & Évolution, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Ergonomie & Usages, Innovation & Optimisation"
Logo magazine Esquire," Équilibre & Symétrie, Déconstruction & Fragmentation, Échelle & Proportion, Répétition, Minimalisme & Vide, Pérennité, Illusion & Simulation, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Innovation & Optimisation"
Louis Ghost,"Articulation & Connexion, Équilibre & Symétrie, Transparence & Opacité, Masse & Légèreté, Fluidité & Rigidité, Éphémère & Apparition, Pérennité, Détournement & Appropriation, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification, Ergonomie & Usages"
Ludi Naturae,"Motif & Ornementation, Hiérarchie & Stratification, Hybridation & Fusion, Texture & État de surface, Transparence & Opacité, Masse & Légèreté, Cinétisme & Vibration, Narration & Évocation, Artisanat & Savoir-faire, Biomimétisme, Innovation & Optimisation, Conception collaborative"
Lurie Garden,"Articulation & Connexion, Hiérarchie & Stratification, Accumulation & Densité, Texture & État de surface, Lumière & Ombre, Pérennité, Mutation & Évolution, Narration & Évocation, Engagement & Sensibilisation, Innovation & Optimisation, Conception collaborative, Ergonomie & Usages"
MOCA - Museum of Contemporary Art,"Articulation & Connexion, Hiérarchie & Stratification, Équilibre & Symétrie, Lumière & Ombre, Masse & Légèreté, Texture & État de surface, Ancrage & Élévation, Pérennité, Symbole & Archétype, Exagération & Contraste, Rationalisation & Simplification, Innovation & Optimisation"
Magnetic Motion,"Articulation & Connexion, Motif & Ornementation, Fluidité & Rigidité, Hybridation & Fusion, Texture & État de surface, Transparence & Opacité, Cinétisme & Vibration, Mutation & Évolution, Narration & Évocation, Innovation & Optimisation, Conception collaborative, Artisanat & Savoir-faire"
Masters,"Articulation & Connexion, Hybridation & Fusion, Masse & Légèreté, Minimalisme & Vide, Texture & État de surface, Pérennité, Détournement & Appropriation, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification"
Meltdown,"Déformation & Distorsion, Couleur & Saturation, Minimalisme & Vide, Fluidité & Rigidité, Exagération & Contraste, Symbole & Archétype, Narration & Évocation, Mutation & Évolution, Rationalisation & Simplification, Équilibre & Symétrie, Engagement & Sensibilisation, Échelle & Proportion"
Menton,"Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Masse & Légèreté, Fluidité & Rigidité, Mutation & Évolution, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Innovation & Optimisation, Ergonomie & Usages, Modularité & Standardisation"
Mes Voeux,"Articulation & Connexion, Hiérarchie & Stratification, Accumulation & Densité, Répétition, Déconstruction & Fragmentation, Lumière & Ombre, Masse & Légèreté, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire, Détournement & Appropriation, Inclusion & Mise en abyme"
Meta Morphism,"Articulation & Connexion, Hiérarchie & Stratification, Hybridation & Fusion, Texture & État de surface, Transparence & Opacité, Cinétisme & Vibration, Mutation & Évolution, Narration & Évocation, Artisanat & Savoir-faire, Biomimétisme, Innovation & Optimisation, Conception collaborative"
Metropol Parasol,"Articulation & Connexion, Hiérarchie & Stratification, Accumulation & Densité, Lumière & Ombre, Masse & Légèreté, Texture & État de surface, Ancrage & Élévation, Mutation & Évolution, Symbole & Archétype, Biomimétisme, Innovation & Optimisation, Conception collaborative, Ergonomie & Usages"
Millau Viaduct,"Articulation & Connexion, Équilibre & Symétrie, Répétition, Échelle & Proportion, Minimalisme & Vide, Masse & Légèreté, Ancrage & Élévation, Pérennité, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation, Conception collaborative"
Mille Fiori,"Articulation & Connexion, Accumulation & Densité, Hiérarchie & Stratification, Couleur & Saturation, Lumière & Ombre, Transparence & Opacité, Masse & Légèreté, Texture & État de surface, Biomimétisme, Narration & Évocation, Artisanat & Savoir-faire, Hybridation & Fusion"
Millennium Bridge,"Équilibre & Symétrie, Minimalisme & Vide, Masse & Légèreté, Cinétisme & Vibration, Ancrage & Élévation, Pérennité, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation, Conception collaborative, Ergonomie & Usages"
Miller,"Articulation & Connexion, Équilibre & Symétrie, Échelle & Proportion, Répétition, Minimalisme & Vide, Hiérarchie & Stratification, Pérennité, Mutation & Évolution, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Ergonomie & Usages, Innovation & Optimisation"
Milwaukee Art Museum,"Articulation & Connexion, Équilibre & Symétrie, Lumière & Ombre, Masse & Légèreté, Cinétisme & Vibration, Ancrage & Élévation, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation, Hybridation & Fusion"
Minolta,"Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Couleur & Saturation, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation, Ergonomie & Usages"
Miss K,"Articulation & Connexion, Équilibre & Symétrie, Transparence & Opacité, Masse & Légèreté, Illusion & Simulation, Éphémère & Apparition, Pérennité, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification, Ergonomie & Usages"
Miss Ko2,"Hiérarchie & Stratification, Échelle & Proportion, Exagération & Contraste, Texture & État de surface, Hybridation & Fusion, Détournement & Appropriation, Narration & Évocation, Symbole & Archétype, Illusion & Simulation, Engagement & Sensibilisation, Artisanat & Savoir-faire"
Modulor,"Équilibre & Symétrie, Échelle & Proportion, Hiérarchie & Stratification, Minimalisme & Vide, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Modularité & Standardisation, Innovation & Optimisation, Ergonomie & Usages"
Momento n°4,"Hiérarchie & Stratification , Inclusion & Mise en abyme , Répétition , Couleur & Saturation , Hybridation & Fusion , Mutation & Évolution , Pérennité , Détournement & Appropriation , Narration & Évocation , Symbole & Archétype , Réemploi & Réhabilitation , Innovation & Optimisation"
Motion,"Cinétisme & Vibration, Répétition, Motif & Ornementation, Transparence & Opacité, Rationalisation & Simplification, Mutation & Évolution, Accumulation & Densité, Innovation & Optimisation, Narration & Évocation, Artisanat & Savoir-faire, Illusion & Simulation, Couleur & Saturation"
Murakami Flower,"Accumulation & Densité, Répétition, Hiérarchie & Stratification, Motif & Ornementation, Couleur & Saturation, Texture & État de surface, Mutation & Évolution, Détournement & Appropriation, Exagération & Contraste, Symbole & Archétype, Modularité & Standardisation, Rationalisation & Simplification"
Mushroom,"Biomimétisme, Fluidité & Rigidité, Innovation & Optimisation, Ergonomie & Usages, Ancrage & Élévation, Couleur & Saturation, Texture & État de surface, Pérennité, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Échelle & Proportion"
Musée Guggenhei NYC,"Hiérarchie & Stratification, Échelle & Proportion, Fluidité & Rigidité, Lumière & Ombre, Minimalisme & Vide, Ancrage & Élévation, Mobilité & Déploiement, Exagération & Contraste, Symbole & Archétype, Biomimétisme, Ergonomie & Usages, Innovation & Optimisation"
Musée Guggenheim Bilbao,"Déconstruction & Fragmentation, Échelle & Proportion, Fluidité & Rigidité, Texture & État de surface, Lumière & Ombre, Cinétisme & Vibration, Mutation & Évolution, Exagération & Contraste, Symbole & Archétype, Biomimétisme, Innovation & Optimisation, Réemploi & Réhabilitation"
Musée Whitney,"Hiérarchie & Stratification, Échelle & Proportion, Masse & Légèreté, Lumière & Ombre, Texture & État de surface, Ancrage & Élévation, Pérennité, Exagération & Contraste, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification, Réemploi & Réhabilitation"
My Twisted Reality,"Accumulation & Densité, Échelle & Proportion, Hiérarchie & Stratification, Couleur & Saturation, Lumière & Ombre, Texture & État de surface, Ancrage & Élévation, Mutation & Évolution, Détournement & Appropriation, Exagération & Contraste, Conception collaborative, Ergonomie & Usages"
My lovely bones,"Artisanat & Savoir-faire, Symbole & Archétype, Texture & État de surface, Accumulation & Densité, Narration & Évocation, Détournement & Appropriation, Masse & Légèreté, Lumière & Ombre, Mutation & Évolution, Répétition, Couleur & Saturation, Réemploi & Réhabilitation"
Neuer Zollhof,"Déconstruction & Fragmentation, Répétition, Échelle & Proportion, Déformation & Distorsion, Texture & État de surface, Lumière & Ombre, Cinétisme & Vibration, Interaction, Exagération & Contraste, Illusion & Simulation, Réemploi & Réhabilitation, Innovation & Optimisation"
New York City Subway Map,"Articulation & Connexion, Répétition, Hiérarchie & Stratification, Couleur & Saturation, Déformation & Distorsion, Minimalisme & Vide, Mobilité & Déploiement, Pérennité, Symbole & Archétype, Innovation & Optimisation, Modularité & Standardisation, Rationalisation & Simplification"
No. 13,"Articulation & Connexion, Hiérarchie & Stratification, Fluidité & Rigidité, Hybridation & Fusion, Texture & État de surface, Éphémère & Apparition, Interaction, Mutation & Évolution, Exagération & Contraste, Narration & Évocation, Artisanat & Savoir-faire, Innovation & Optimisation"
Nogushi,"Équilibre & Symétrie, Articulation & Connexion, Fluidité & Rigidité, Masse & Légèreté, Transparence & Opacité, Minimalisme & Vide, Biomimétisme, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Ergonomie & Usages, Texture & État de surface"
OCR-B,"Répétition, Équilibre & Symétrie, Minimalisme & Vide, Fluidité & Rigidité, Interaction, Mutation & Évolution, Pérennité, Symbole & Archétype, Artisanat & Savoir-faire, Ergonomie & Usages, Modularité & Standardisation, Rationalisation & Simplification"
Objet inutile,"Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Texture & État de surface, Lumière & Ombre, Mutation & Évolution, Pérennité, Détournement & Appropriation, Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Artisanat & Savoir-faire"
Omega Constellation,"Articulation & Connexion, Hiérarchie & Stratification, Équilibre & Symétrie, Lumière & Ombre, Texture & État de surface, Pérennité, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire, Innovation & Optimisation, Ergonomie & Usages"
One Hundred and Eleven,"Articulation & Connexion, Inclusion & Mise en abyme, Fluidité & Rigidité, Hybridation & Fusion, Texture & État de surface, Cinétisme & Vibration, Mobilité & Déploiement, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Innovation & Optimisation"
Opera,"Répétition, Échelle & Proportion, Transparence & Opacité, Masse & Légèreté, Lumière & Ombre, Minimalisme & Vide, Ancrage & Élévation, Symbole & Archétype, Détournement & Appropriation, Narration & Évocation, Ergonomie & Usages, Innovation & Optimisation"
Orange Slice,"Répétition , Articulation & Connexion , Masse & Légèreté , Texture & État de surface , Pérennité , Narration & Évocation , Symbole & Archétype , Biomimétisme , Ergonomie & Usages , Innovation & Optimisation , Modularité & Standardisation , Rationalisation & Simplification"
Oyster,"Biomimétisme, Fluidité & Rigidité, Masse & Légèreté, Articulation & Connexion, Minimalisme & Vide, Pérennité, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification, Symbole & Archétype, Texture & État de surface, Ancrage & Élévation"
Paco - Heineken,"Équilibre & Symétrie, Minimalisme & Vide, Texture & État de surface, Masse & Légèreté, Lumière & Ombre, Mutation & Évolution, Mobilité & Déploiement, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification"
Panda,"Motif & Ornementation, Échelle & Proportion, Hybridation & Fusion, Texture & État de surface, Masse & Légèreté, Ancrage & Élévation, Détournement & Appropriation, Symbole & Archétype, Exagération & Contraste, Conception collaborative, Réemploi & Réhabilitation"
Panthella Lamp,"Lumière & Ombre, Équilibre & Symétrie, Fluidité & Rigidité, Transparence & Opacité, Mobilité & Déploiement, Mutation & Évolution, Pérennité, Symbole & Archétype, Ergonomie & Usages, Innovation & Optimisation, Rationalisation & Simplification"
Panton Chair,"Fluidité & Rigidité, Minimalisme & Vide, Couleur & Saturation, Texture & État de surface, Ancrage & Élévation, Mutation & Évolution, Pérennité, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification, Ergonomie & Usages, Équilibre & Symétrie"
Patek Philippe Nautilus,"Articulation & Connexion, Motif & Ornementation, Hybridation & Fusion, Texture & État de surface, Pérennité, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Détournement & Appropriation, Artisanat & Savoir-faire, Ergonomie & Usages, Équilibre & Symétrie"
Pensthorpe Natural Park,"Accumulation & Densité, Échelle & Proportion, Couleur & Saturation, Texture & État de surface, Hybridation & Fusion, Mutation & Évolution, Pérennité, Engagement & Sensibilisation, Narration & Évocation, Biomimétisme, Ergonomie & Usages"
Personnes,"Accumulation & Densité, Échelle & Proportion, Minimalisme & Vide, Lumière & Ombre, Éphémère & Apparition, Mobilité & Déploiement, Cinétisme & Vibration, Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Engagement & Sensibilisation, Réemploi & Réhabilitation"
Pipistrello,"Biomimétisme, Mobilité & Déploiement, Lumière & Ombre, Transparence & Opacité, Ergonomie & Usages, Échelle & Proportion, Innovation & Optimisation, Pérennité, Symbole & Archétype, Narration & Évocation, Équilibre & Symétrie, Texture & État de surface"
Plato's Atlantis,"Biomimétisme, Hybridation & Fusion, Mutation & Évolution, Motif & Ornementation, Déformation & Distorsion, Texture & État de surface, Narration & Évocation, Engagement & Sensibilisation, Innovation & Optimisation, Ancrage & Élévation, Exagération & Contraste, Interaction"
Pleats Please,"Répétition, Échelle & Proportion, Texture & État de surface, Masse & Légèreté, Fluidité & Rigidité, Cinétisme & Vibration, Mobilité & Déploiement, Pérennité, Symbole & Archétype, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification"
Plissage,"Artisanat & Savoir-faire, Texture & État de surface, Répétition, Mobilité & Déploiement, Déformation & Distorsion, Motif & Ornementation, Fluidité & Rigidité, Cinétisme & Vibration, Pérennité, Innovation & Optimisation"
Pots&Pans,"Minimalisme & Vide , Rationalisation & Simplification , Ergonomie & Usages , Modularité & Standardisation , Pérennité , Innovation & Optimisation , Texture & État de surface , Symbole & Archétype , Hiérarchie & Stratification , Articulation & Connexion"
Pouf Sacco,"Fluidité & Rigidité, Ergonomie & Usages, Interaction, Déformation & Distorsion, Déconstruction & Fragmentation, Accumulation & Densité, Masse & Légèreté, Mobilité & Déploiement, Innovation & Optimisation, Pérennité, Symbole & Archétype, Minimalisme & Vide"
Pratone,"Échelle & Proportion, Accumulation & Densité, Répétition, Biomimétisme, Hybridation & Fusion, Fluidité & Rigidité, Texture & État de surface, Interaction, Ergonomie & Usages, Détournement & Appropriation, Exagération & Contraste, Symbole & Archétype"
Public Theater Identity,"Échelle & Proportion, Couleur & Saturation, Cinétisme & Vibration, Modularité & Standardisation, Détournement & Appropriation, Accumulation & Densité, Hiérarchie & Stratification, Engagement & Sensibilisation, Déconstruction & Fragmentation, Pérennité, Symbole & Archétype"
